,Wavelength,Transmittance,Reflectance,Absorbance
99,399.0,0.9884491425797254,0.009691335260868073,0.0018595178803025641
100,400.0,0.9884560836902765,0.009685395061969757,0.0018585230803637841
101,401.0,0.9884629664489918,0.00967949628829956,0.0018575384801443311
102,402.0,0.9884697915243948,0.009673652946949005,0.0018565597078941674
103,403.0,0.9884765595752601,0.009667851030826569,0.0018555898180148247
104,404.0,0.9884832712507705,0.009662097692489624,0.0018546273793163454
105,405.0,0.9884899271906992,0.009656400978565216,0.0018536731647964665
106,406.0,0.9884965280255881,0.009650744497776031,0.0018527265202556492
107,407.0,0.9885030743768786,0.00964513659477234,0.001851787877631117
108,408.0,0.9885095668571003,0.009639569222927094,0.0018508568196467005
109,409.0,0.9885160060700143,0.009634056389331817,0.0018499341886854877
110,410.0,0.988522392610771,0.00962859183549881,0.0018490183800805018
111,411.0,0.9885287270660444,0.009623167812824249,0.0018481088408862484
112,412.0,0.9885350100142141,0.00961777925491333,0.0018472084115092513
113,413.0,0.9885412420254623,0.009612441956996919,0.001846314833983394
114,414.0,0.9885474236619524,0.009607143402099609,0.0018454276321063457
115,415.0,0.9885535554779491,0.00960189312696457,0.0018445480170976752
116,416.0,0.9885596380199536,0.009596683382987976,0.0018436756415304068
117,417.0,0.9885656718268478,0.009591518938541412,0.0018428097225751654
118,418.0,0.9885716574300102,0.009586392939090728,0.0018419510717467887
119,419.0,0.9885775953534431,0.009581305086612701,0.0018410989616223197
120,420.0,0.9885834861139103,0.009576260149478912,0.0018402540659008635
121,421.0,0.9885893302210508,0.009571255147457124,0.0018394149048709199
122,422.0,0.9885951281774982,0.009566285908222198,0.0018385824337383947
123,423.0,0.988600880478998,0.009561360776424409,0.0018377570432404015
124,424.0,0.988606587614516,0.009556473195552827,0.0018369385927690593
125,425.0,0.9886122500663685,0.009551622271537781,0.0018361253566218363
126,426.0,0.9886178683103236,0.009546815454959869,0.0018353182455849168
127,427.0,0.9886234428156928,0.009542042016983032,0.0018345182911162418
128,428.0,0.9886289740454675,0.009537305533885956,0.0018337244492705083
129,429.0,0.9886344624564021,0.009532602429389954,0.0018329351969896982
130,430.0,0.9886399084991231,0.009527942538261414,0.001832154398998743
131,431.0,0.9886453126182306,0.00952330619096756,0.0018313774933085983
132,432.0,0.988650675252387,0.009518715739250182,0.0018306073694021217
133,433.0,0.9886559968344281,0.009514155089855194,0.0018298432355823649
134,434.0,0.9886612777914504,0.009509631097316742,0.0018290851383517923
135,435.0,0.9886665185448926,0.00950515180826187,0.0018283323690776068
136,436.0,0.9886717195106488,0.009500690400600434,0.0018275848500525812
137,437.0,0.9886768810991395,0.009496272504329682,0.0018268446247566967
138,438.0,0.9886820037154108,0.009491888880729675,0.0018261081804667556
139,439.0,0.9886870877592034,0.009487536549568177,0.0018253765015925389
140,440.0,0.9886921336250648,0.009483216106891632,0.001824652597388261
141,441.0,0.9886971417024017,0.009478925764560699,0.0018239334896316666
142,442.0,0.9887021123755769,0.009474667906761169,0.0018232192593041641
143,443.0,0.9887070460239933,0.009470440745353699,0.001822510545162072
144,444.0,0.9887119430221638,0.00946625292301178,0.0018218054825502586
145,445.0,0.9887168037397813,0.009462089836597442,0.001821108160393193
146,446.0,0.9887216285418117,0.009457952976226806,0.0018204151865848664
147,447.0,0.9887264177885564,0.009453859925270081,0.0018197259639965325
148,448.0,0.988731171835723,0.009449782073497772,0.0018190428306935052
149,449.0,0.9887358910344954,0.009445748031139374,0.0018183646706348366
150,450.0,0.9887405757316249,0.009441733360290527,0.0018176915454115078
151,451.0,0.9887452262694592,0.009437747001647949,0.0018170218004889473
152,452.0,0.9887498429860563,0.009433799982070923,0.001816358560572627
153,453.0,0.9887544262152091,0.009429872930049897,0.0018157001112741294
154,454.0,0.9887589762865335,0.009425975680351258,0.001815045426410582
155,455.0,0.9887634935255286,0.009422115385532379,0.001814396099152949
156,456.0,0.9887679782536375,0.009418272078037263,0.0018137519357424795
157,457.0,0.9887724307883055,0.009414461255073548,0.001813111098335944
158,458.0,0.9887768514430479,0.009410677254199981,0.0018124751996584437
159,459.0,0.9887812405274972,0.009406918287277221,0.001811844105786883
160,460.0,0.9887855983474756,0.009403190016746521,0.001811217342037787
161,461.0,0.9887899252050439,0.009399475753307343,0.0018105954079875011
162,462.0,0.988794221398564,0.00939580500125885,0.0018099773657832786
163,463.0,0.9887984872227412,0.009392144680023194,0.0018093641651012965
164,464.0,0.9888027229686952,0.009388527274131775,0.001808753915547723
165,465.0,0.9888069289239924,0.009384924173355102,0.0018081483732385925
166,466.0,0.9888111053727286,0.009381347894668579,0.001807548802689864
167,467.0,0.9888152525955445,0.009377799332141876,0.001806951944900077
168,468.0,0.9888193708697104,0.009374266862869263,0.0018063594111755207
169,469.0,0.9888234604691502,0.009370771050453187,0.0018057702074293907
170,470.0,0.988827521664504,0.009367289245128632,0.0018051867866052773
171,471.0,0.9888315547231639,0.00936383605003357,0.0018046058887831314
172,472.0,0.9888355599093461,0.009360406100749969,0.0018040302495047373
173,473.0,0.9888395374840967,0.009357004463672637,0.0018034569848988191
174,474.0,0.9888434877053814,0.009353629648685455,0.0018028884116666618
175,475.0,0.9888474108281013,0.009350267052650452,0.0018023244850702209
176,476.0,0.9888513071041513,0.009346930384635925,0.0018017641285860918
177,477.0,0.9888551767824378,0.009343618154525756,0.00180120670719598
178,478.0,0.9888590201089719,0.009340323805809021,0.0018006540150964628
179,479.0,0.9888628373268498,0.009337061643600464,0.0018001033458313967
180,480.0,0.9888666286763478,0.009333816170692445,0.0017995590905503412
181,481.0,0.9888703943949221,0.00933059275150299,0.0017990162114893832
182,482.0,0.988874134717274,0.009327384829521179,0.001798478392784187
183,483.0,0.9888778498753791,0.009324201047420502,0.001797942746079667
