nm,RealReflectance,SimulatedReflectance
560.0,9.857967,7.838982428312299
561.0,9.852146,7.8369770133495305
562.0,9.870796,7.83611754417419
563.0,9.850936,7.83411276221275
564.0,9.853832,7.8336586022377
565.0,9.841761,7.8317484581470405
566.0,9.847378,7.830797500610349
567.0,9.853633,7.82982213973999
568.0,9.845817,7.82782109856605
569.0,9.84106,7.826993473768231
570.0,9.825033,7.82546121835708
571.0,9.838616,7.82451826691627
572.0,9.835904,7.82264362454414
573.0,9.837294,7.82166835665702
574.0,9.82617,7.82084263682365
575.0,9.823177,7.818853900432581
576.0,9.819871,7.81840235352516
577.0,9.810421,7.81650642633438
578.0,9.810598,7.81556418538093
579.0,9.813417,7.81474036455154
580.0,9.820844,7.8132515776157305
581.0,9.805823,7.812310601472849
582.0,9.798811,7.810447083711621
583.0,9.79486,7.80949941992759
584.0,9.792653,7.808683601617809
585.0,9.795129,7.807196710109709
586.0,9.796003,7.806380915641779
587.0,9.788798,7.805440626144409
588.0,9.782528,7.80358146190643
589.0,9.78149,7.8031410729885105
590.0,9.793033,7.801284381151199
591.0,9.785614,7.80034413337707
592.0,9.785376,7.79953635454177
593.0,9.785521,7.7980544507503495
594.0,9.769784,7.79724058508873
595.0,9.770529,7.796426131725311
596.0,9.766534,7.79495463490486
597.0,9.757671,7.794140807390209
598.0,9.76082,7.793232393264771
599.0,9.742662,7.79138617873191
600.0,9.74344,7.790948365926741
601.0,9.738156,7.79013580679893
602.0,9.743563,7.78829085230827
603.0,9.746777,7.7878848075866705
604.0,9.757013,7.7860398697852995
605.0,9.742933,7.7852352964878
606.0,9.737604,7.784829891920079
607.0,9.733142,7.782988044023511
608.0,9.730785,7.78217556476593
609.0,9.733581,7.781777522563931
610.0,9.726096,7.7799369287490805
611.0,9.727713,7.779131803512571
612.0,9.719326,7.7787289083004
613.0,9.717155,7.77792441606521
614.0,9.721307,7.7761155962944
615.0,9.723377,7.7756895434856395
616.0,9.716096,7.77488630533218
617.0,9.707244,7.77307690501213
618.0,9.711567,7.772776007652279
619.0,9.708881,7.7718794107437095
620.0,9.71271,7.77054368376731
621.0,9.699117,7.769772226810449
622.0,9.680678,7.76897087693214
623.0,9.69038,7.767541786432259
624.0,9.684258,7.766739847660061
625.0,9.69155,7.766470756530761
626.0,9.678628,7.76466755032539
627.0,9.684517,7.7638656353950495
628.0,9.67424,7.76347938537597
629.0,9.666388,7.762678102254859
630.0,9.66809,7.76137786269187
631.0,9.656395,7.760607727766029
632.0,9.651906,7.75981501579284
633.0,9.650031,7.758515418767919
634.0,9.647593,7.75762812256813
635.0,9.636393,7.757331042289731
636.0,9.640073,7.75656156182289
637.0,9.624486,7.75476883172988
638.0,9.63254,7.75450351834297
639.0,9.633916,7.753710867166511
640.0,9.629153,7.752414381504059
641.0,9.620343,7.7515277576446495
642.0,9.61703,7.751262477636329
643.0,9.607118,7.750469859838479
644.0,9.600715,7.749183177947989
645.0,9.605267,7.74841438174247
646.0,9.605863,7.74765475392341
647.0,9.597023,7.74636870145797
648.0,9.605681,7.7455999314785
649.0,9.588846,7.74531335115432
650.0,9.582717,7.7445525252819
651.0,9.582009,7.74326163053512
652.0,9.568774,7.74250265359878
653.0,9.569459,7.742246007919309
654.0,9.57154,7.74136071205139
655.0,9.573138,7.740078994035721
656.0,9.566578,7.73931822180748
657.0,9.568058,7.73906344175338
658.0,9.560361,7.7382971894741
659.0,9.550787,7.73701611518859
660.0,9.555745,7.736257209777831
661.0,9.53945,7.73600306153297
662.0,9.533559,7.7352441656589495
663.0,9.538996,7.7339643478393505
664.0,9.528772,7.73320607185363
665.0,9.532799,7.73295195817947
666.0,9.527349,7.7322004199028
667.0,9.508503,7.73092245101928
668.0,9.510105,7.73016543030738
669.0,9.503257,7.7299119567871095
670.0,9.511644,7.7292788529396
671.0,9.518861,7.728001526594159
672.0,9.505639,7.72724514484405
673.0,9.507476,7.726999629735939
674.0,9.486893,7.726242650747291
675.0,9.481062,7.7249977004528
676.0,9.48455,7.724241342544549
677.0,9.47499,7.723995859622949
678.0,9.479331,7.723744889497749
679.0,9.467128,7.722987942695609
680.0,9.45938,7.72172044634819
681.0,9.471006,7.7209952509403195
682.0,9.458113,7.72074430465698
683.0,9.458013,7.71999531626701
684.0,9.45601,7.71884747385978
685.0,9.440324,7.71809911131858
686.0,9.451453,7.7178793191909705
687.0,9.443673,7.717130966186519
688.0,9.441268,7.71688066959381
689.0,9.446971,7.7156168889999295
690.0,9.421369,7.7148923599720005
691.0,9.431985,7.714648796319961
692.0,9.435009,7.714019497632981
693.0,9.404983,7.712756351232521
694.0,9.418693,7.71203367710113
695.0,9.419815,7.71179135799408
696.0,9.393044,7.711549044847479
697.0,9.417948,7.710824556350699
698.0,9.40157,7.7095651006698604
699.0,9.39183,7.70893523216247
700.0,9.420065,7.708724679946891
