,Wavelength,Reflectance-Bare,Reflectance-QD
249,551.0,7.550819,10.314649
250,550.0,7.5730675000000005,10.3064785
251,549.0,7.5694645000000005,10.320246000000001
252,548.0,7.582663,10.316386
253,547.0,7.5762625,10.311794500000001
254,546.0,7.585948,10.3182155
255,545.0,7.597494,10.322844
256,544.0,7.5978625,10.3242245
257,543.0,7.609199,10.3211965
258,542.0,7.614919,10.3297065
259,541.0,7.620506,10.322476
260,540.0,7.625774,10.3284725
261,539.0,7.626621500000001,10.32283
262,538.0,7.6382625,10.325236
263,537.0,7.6531565,10.331201
264,536.0,7.649006,10.3398495
265,535.0,7.659084999999999,10.344969
266,534.0,7.666513999999999,10.3439655
267,533.0,7.6674175,10.3487545
268,532.0,7.6707925,10.359865
269,531.0,7.68347,10.363727
270,530.0,7.693514,10.3800865
271,529.0,7.6972445,10.3857265
272,528.0,7.710342499999999,10.387146
273,527.0,7.7163035,10.399627500000001
274,526.0,7.731646,10.408333500000001
275,525.0,7.7360295,10.4234105
276,524.0,7.750401500000001,10.434682500000001
277,523.0,7.7564355,10.4497975
278,522.0,7.7684445,10.4514685
279,521.0,7.780975,10.466997
280,520.0,7.7901425,10.472335999999999
281,519.0,7.7991340000000005,10.485512
282,518.0,7.820142000000001,10.5017545
283,517.0,7.8340955,10.506181
284,516.0,7.850783,10.5175965
285,515.0,7.866194,10.5315485
286,514.0,7.878477500000001,10.5286605
287,513.0,7.8992945,10.537078000000001
288,512.0,7.916171,10.546800000000001
289,511.0,7.930728500000001,10.541420500000001
290,510.0,7.9501605,10.545756
291,509.0,7.9775225,10.55034
292,508.0,7.994797,10.543131500000001
293,507.0,8.0157065,10.525426
294,506.0,8.0370715,10.5086855
295,505.0,8.058358,10.4999875
296,504.0,8.0829885,10.510032500000001
297,503.0,8.101576999999999,10.5115085
298,502.0,8.112317000000001,10.515247
299,501.0,8.132904,10.504138000000001
300,500.0,8.144437,10.501559499999999
301,499.0,8.152711499999999,10.488508
302,498.0,8.1592095,10.477416999999999
303,497.0,8.1702235,10.467205499999999
304,496.0,8.1785235,10.4683915
305,495.0,8.185127,10.4569035
306,494.0,8.19403,10.4549395
307,493.0,8.191794999999999,10.446125
308,492.0,8.195142,10.436272500000001
309,491.0,8.202335,10.4360225
310,490.0,8.200122,10.4183465
311,489.0,8.196809,10.41092
312,488.0,8.2051355,10.404536499999999
313,487.0,8.2092225,10.3954685
314,486.0,8.2104405,10.387308
315,485.0,8.2087395,10.381567
316,484.0,8.21095,10.389938
317,483.0,8.2125795,10.3950405
318,482.0,8.209389,10.3912095
319,481.0,8.211441,10.416364000000002
320,480.0,8.231222500000001,10.446527
321,479.0,8.2610235,10.489508
322,478.0,8.2877435,10.5300615
323,477.0,8.3045405,10.546887
324,476.0,8.321439000000002,10.558604500000001
325,475.0,8.3370255,10.573790500000001
326,474.0,8.354603999999998,10.592871500000001
327,473.0,8.373144,10.614255499999999
328,472.0,8.3932255,10.627234000000001
329,471.0,8.409488,10.63671
330,470.0,8.4199625,10.6554115
331,469.0,8.4402215,10.6601915
332,468.0,8.460116,10.663425499999999
333,467.0,8.47835,10.669838500000001
334,466.0,8.498002,10.672312
335,465.0,8.518688999999998,10.679948
336,464.0,8.535114,10.684439000000001
337,463.0,8.553783,10.6841175
338,462.0,8.565965,10.68281
339,461.0,8.5745185,10.682390999999999
340,460.0,8.592473,10.675010499999999
341,459.0,8.6035825,10.678246999999999
342,458.0,8.610199999999999,10.678893500000001
343,457.0,8.62059,10.679465
344,456.0,8.632583499999999,10.6874525
345,455.0,8.645989499999999,10.6918335
346,454.0,8.6513645,10.689721500000001
347,453.0,8.6550315,10.682964
348,452.0,8.657522499999999,10.681210499999999
349,451.0,8.657,10.686569
350,450.0,8.660115999999999,10.692192
351,449.0,8.6689445,10.691405499999998
