,nm,Sample1Ref,Sample2Ref,Sample3Ref,Sample4Ref
285,515.0,10.555122,11.779295,10.649389,10.161528
284,516.0,10.53333,11.76733,10.635235,10.152387
283,517.0,10.544534,11.749548,10.614951,10.143678
282,518.0,10.543255,11.730381,10.605329,10.129486
281,519.0,10.515782,11.738313,10.596311,10.128027
280,520.0,10.522017,11.702856,10.578091,10.116656
279,521.0,10.52415,11.695481,10.571391,10.10246
278,522.0,10.480164,11.69417,10.557872,10.088897
277,523.0,10.503582,11.67737,10.551045,10.091013
276,524.0,10.500838,11.657359,10.543564,10.079624
275,525.0,10.465747,11.655411,10.525516,10.078441
274,526.0,10.469644,11.646092,10.514465,10.066271
273,527.0,10.465975,11.620086,10.503882,10.054487
272,528.0,10.428854,11.622388,10.504083,10.046383
271,529.0,10.451576,11.595353,10.495379,10.050901
270,530.0,10.436788,11.581607,10.495581,10.035272
269,531.0,10.408224,11.588025,10.487866,10.035334
268,532.0,10.426448,11.566347,10.482229,10.021356
267,533.0,10.393291,11.538729,10.480014,10.021762
266,534.0,10.375774,11.548233,10.456435,10.004413
265,535.0,10.38051,11.520704,10.450679,10.002326
264,536.0,10.366202,11.511495,10.450933,9.994364
263,537.0,10.354238,11.507538,10.44666,9.981181
262,538.0,10.346327,11.496067,10.441292,9.982573
261,539.0,10.320805,11.474371,10.431061,9.969996
260,540.0,10.335242,11.479973,10.424781,9.963789
259,541.0,10.313564,11.453576,10.417058,9.968976
258,542.0,10.304119,11.443933,10.42544,9.956978
257,543.0,10.312523,11.43561,10.425006,9.94042
256,544.0,10.284592,11.40329,10.407116,9.942909
255,545.0,10.272305,11.399696,10.403138,9.918926
254,546.0,10.278129,11.395915,10.401289,9.931977
253,547.0,10.251877,11.382574,10.399546,9.923734
252,548.0,10.266358,11.386877,10.397733,9.911424
251,549.0,10.246796,11.351369,10.381691,9.904862
250,550.0,10.231819,11.372292,10.396673,9.902063
249,551.0,10.236233,11.354162,10.389368,9.898884
248,552.0,10.196111,11.340521,10.372822,9.892617
247,553.0,10.212524,11.342374,10.378925,9.890034
246,554.0,10.19883,11.305491,10.380342,9.888436
245,555.0,10.18976,11.30669,10.364978,9.867763
244,556.0,10.207418,11.298657,10.369023,9.869185
243,557.0,10.161145,11.281511,10.36019,9.857591
242,558.0,10.196165,11.290208,10.354979,9.851756
241,559.0,10.142836,11.263079,10.362868,9.850059
240,560.0,10.197005,11.261506,10.36194,9.857967
239,561.0,10.178698,11.26399,10.386911,9.852146
238,562.0,10.165452,11.256659,10.378853,9.870796
237,563.0,10.182299,11.266959,10.389438,9.850936
236,564.0,10.135501,11.234517,10.388401,9.853832
235,565.0,10.18132,11.247599,10.379049,9.841761
234,566.0,10.122785,11.220563,10.385555,9.847378
233,567.0,10.164409,11.239077,10.383021,9.853633
232,568.0,10.120494,11.202064,10.378566,9.845817
231,569.0,10.144785,11.186614,10.381937,9.84106
230,570.0,10.1326,11.196066,10.372874,9.825033
229,571.0,10.131064,11.18604,10.365331,9.838616
228,572.0,10.138184,11.175462,10.36498,9.835904
227,573.0,10.119426,11.148388,10.369073,9.837294
226,574.0,10.146246,11.153727,10.355034,9.82617
225,575.0,10.113881,11.154147,10.360689,9.823177
224,576.0,10.134051,11.135256,10.371391,9.819871
223,577.0,10.099149,11.123753,10.365305,9.810421
222,578.0,10.129822,11.121735,10.340361,9.810598
221,579.0,10.094593,11.117092,10.33644,9.813417
220,580.0,10.126055,11.11144,10.336332,9.820844
219,581.0,10.097884,11.105834,10.344864,9.805823
218,582.0,10.113069,11.088048,10.336235,9.798811
217,583.0,10.104321,11.093215,10.334217,9.79486
216,584.0,10.116512,11.069824,10.314733,9.792653
215,585.0,10.10173,11.074562,10.331584,9.795129
214,586.0,10.107527,11.060373,10.308924,9.796003
213,587.0,10.097553,11.070409,10.310014,9.788798
212,588.0,10.072246,11.060344,10.309978,9.782528
211,589.0,10.085589,11.050262,10.306083,9.78149
210,590.0,10.0941,11.045447,10.294204,9.793033
209,591.0,10.094029,11.033481,10.285675,9.785614
208,592.0,10.095251,11.031953,10.296774,9.785376
207,593.0,10.085468,11.012831,10.271725,9.785521
206,594.0,10.084815,11.010164,10.269246,9.769784
205,595.0,10.085901,10.998825,10.256806,9.770529
204,596.0,10.082449,10.994814,10.256314,9.766534
203,597.0,10.097063,10.982464,10.248723,9.757671
202,598.0,10.07404,10.978441,10.240217,9.76082
201,599.0,10.083824,10.962542,10.225794,9.742662
200,600.0,10.071627,10.973755,10.216769,9.74344
199,601.0,10.073372,10.96067,10.216793,9.738156
198,602.0,10.066191,10.942155,10.204329,9.743563
197,603.0,10.075543,10.931198,10.217294,9.746777
196,604.0,10.065544,10.941877,10.212148,9.757013
195,605.0,10.060554,10.934118,10.19528,9.742933
194,606.0,10.054298,10.920202,10.181684,9.737604
193,607.0,10.065939,10.914378,10.183385,9.733142
192,608.0,10.06027,10.899657,10.182607,9.730785
191,609.0,10.060674,10.91758,10.165023,9.733581
190,610.0,10.066076,10.904845,10.17326,9.726096
189,611.0,10.054857,10.878906,10.158767,9.727713
188,612.0,10.052608,10.867579,10.16755,9.719326
187,613.0,10.050026,10.870499,10.142073,9.717155
186,614.0,10.050424,10.878597,10.133896,9.721307
185,615.0,10.051204,10.871216,10.132186,9.723377
184,616.0,10.04241,10.858055,10.129185,9.716096
183,617.0,10.039993,10.853216,10.135859,9.707244
182,618.0,10.034939,10.839112,10.1203,9.711567
181,619.0,10.042806,10.837843,10.110756,9.708881
180,620.0,10.024291,10.82855,10.101839,9.71271
179,621.0,10.033674,10.808721,10.097661,9.699117
178,622.0,10.022242,10.807526,10.090937,9.680678
177,623.0,10.028865,10.795179,10.090534,9.69038
176,624.0,10.014731,10.797929,10.08542,9.684258
175,625.0,10.031475,10.782593,10.087932,9.69155
174,626.0,10.026671,10.779528,10.080658,9.678628
173,627.0,10.012214,10.760024,10.065963,9.684517
172,628.0,10.014846,10.75219,10.065549,9.67424
171,629.0,9.986881,10.749886,10.047026,9.666388
170,630.0,10.010193,10.735873,10.043008,9.66809
169,631.0,9.982656,10.739929,10.035246,9.656395
168,632.0,10.001907,10.738777,10.041632,9.651906
167,633.0,9.984762,10.732826,10.037963,9.650031
166,634.0,9.977336,10.704074,10.029061,9.647593
165,635.0,9.973845,10.696616,10.023358,9.636393
164,636.0,9.96845,10.686929,10.00413,9.640073
163,637.0,9.983457,10.685461,10.006007,9.624486
162,638.0,9.945044,10.675605,9.992,9.63254
161,639.0,9.969882,10.68028,9.99966,9.633916
160,640.0,9.953836,10.683707,9.990307,9.629153
159,641.0,9.95383,10.66895,9.988541,9.620343
158,642.0,9.949371,10.666341,9.991218,9.61703
157,643.0,9.934204,10.643561,9.988129,9.607118
156,644.0,9.950133,10.65196,9.988511,9.600715
155,645.0,9.924321,10.638236,9.977602,9.605267
154,646.0,9.948261,10.634617,9.969559,9.605863
153,647.0,9.92893,10.62045,9.966523,9.597023
152,648.0,9.925668,10.613683,9.95859,9.605681
151,649.0,9.92703,10.626723,9.952542,9.588846
150,650.0,9.9012,10.616793,9.942988,9.582717
149,651.0,9.916224,10.622789,9.968763,9.582009
148,652.0,9.89724,10.595094,9.95136,9.568774
147,653.0,9.892498,10.590627,9.953484,9.569459
146,654.0,9.884663,10.586741,9.945827,9.57154
145,655.0,9.885446,10.574831,9.941286,9.573138
144,656.0,9.895046,10.581233,9.954477,9.566578
143,657.0,9.879507,10.557313,9.935481,9.568058
142,658.0,9.885535,10.572942,9.926673,9.560361
141,659.0,9.8701,10.547768,9.922355,9.550787
140,660.0,9.876513,10.549371,9.937483,9.555745
139,661.0,9.87755,10.546755,9.943188,9.53945
138,662.0,9.859096,10.522426,9.926993,9.533559
137,663.0,9.865219,10.55978,9.931439,9.538996
136,664.0,9.845446,10.516676,9.905697,9.528772
135,665.0,9.853867,10.527288,9.907563,9.532799
134,666.0,9.852884,10.522093,9.917998,9.527349
133,667.0,9.837348,10.499732,9.901452,9.508503
132,668.0,9.837144,10.524698,9.918955,9.510105
131,669.0,9.81429,10.475896,9.905687,9.503257
130,670.0,9.828689,10.486088,9.911115,9.511644
129,671.0,9.820263,10.477134,9.915878,9.518861
128,672.0,9.816051,10.43735,9.899073,9.505639
127,673.0,9.829985,10.478984,9.898216,9.507476
126,674.0,9.798487,10.446141,9.877374,9.486893
125,675.0,9.818724,10.458819,9.885201,9.481062
124,676.0,9.810084,10.465697,9.894129,9.48455
123,677.0,9.787142,10.419302,9.872697,9.47499
122,678.0,9.81762,10.460371,9.886685,9.479331
121,679.0,9.782648,10.415627,9.877238,9.467128
120,680.0,9.789889,10.423137,9.866569,9.45938
119,681.0,9.798564,10.451099,9.872482,9.471006
118,682.0,9.768231,10.377693,9.857912,9.458113
117,683.0,9.804571,10.418523,9.880522,9.458013
116,684.0,9.768326,10.404642,9.8831,9.45601
115,685.0,9.748039,10.36431,9.856934,9.440324
