Wavelength,Reflectance-0,Reflectance-5,Reflectance-10,Reflectance-15,Reflectance-20,Reflectance-25,Reflectance-30,Reflectance-35,Reflectance-40,Reflectance-45,Reflectance-50,Reflectance-55,Reflectance-60
378.0,3.41300506591796,3.4136390876769998,3.4148811340332,3.42090614318847,3.4378335571289,3.47702331542968,3.5549559020996,3.69864583969116,3.95018081665039,4.37656188964843,5.08422897338867,6.2434869384765594,8.12983726263046
379.0,3.41093841552734,3.41086698532104,3.4120066833496,3.41808471679687,3.43529479980468,3.4744244384765604,3.5522478485107403,3.69576081752777,3.9476523590087798,4.37361022949218,5.08118286132812,6.2400460815429595,8.12660029649734
380.0,3.408583984375,3.4085584640502904,3.4098653411865203,3.4159082031250003,3.43309204101562,3.4718246459960898,3.5495605468749996,3.6929862260818402,3.94489479064941,4.37128051757812,5.0781492614746,6.23696746826171,8.12299657106399
381.0,3.40576538085937,3.4057944679260204,3.4072248840332,3.4133636474609297,3.43028930664062,3.46941802978515,3.54729415893554,3.69072515964508,3.94246322631835,4.3685018920898395,5.07516464233398,6.233849411010739,8.1197627711296
382.0,3.40299255371093,3.4030636787414497,3.40463439941406,3.41076560974121,3.42808868408203,3.46682495117187,3.5446566009521403,3.68833551883697,3.93972045898437,4.36554534912109,5.0723162841796805,6.23077590942382,8.11552958011627
383.0,3.40075164794921,3.40090801239013,3.4025732421875,3.40841239929199,3.4255908203125,3.464306640625,3.5420585632324197,3.6855963087081904,3.9368609619140598,4.36282501220703,5.0693365478515595,6.22752326965332,8.11229894638061
384.0,3.39872528076171,3.3986514282226503,3.3997947692871,3.4058715057373,3.4230813598632803,3.4621841430663998,3.5399285888671796,3.6833622598648,3.9341242980957003,4.360514526367179,5.06687179565429,6.22446975708007,8.10871435880661
385.0,3.3963870239257803,3.39650274276733,3.3977375030517503,3.40372169494628,3.4208865356445304,3.4595996093749997,3.5371250152587805,3.6805112648010203,3.9318700408935503,4.3577993774414,5.0639060974121,6.22141860961914,8.10551557302474
386.0,3.3936120605468703,3.39365343093872,3.3951711273193297,3.40119102478027,3.41839721679687,3.4572177124023398,3.5350706481933503,3.6782969427108703,3.92936614990234,4.35486389160156,5.0610766601562505,6.21856643676757,8.10241571903228
387.0,3.3914205932617096,3.3915132904052703,3.3931164550781197,3.3986754608154297,3.4160070800781197,3.4547225952148404,3.5324650573730403,3.67558640956878,3.9266973876953095,4.3521646118163995,5.0584854125976495,6.21552009582519,8.09931652426719
388.0,3.3893676757812496,3.38929431915283,3.3905100250244096,3.3966043090820297,3.4135073852539,3.45261108398437,3.5304178619384703,3.6733785009384103,3.92446548461914,4.34991607666015,5.05571731567382,6.21248992919921,8.09612766265869
389.0,3.38717956542968,3.3871689605712803,3.38847732543945,3.39409156799316,3.41140838623046,3.4501187133789,3.52783241271972,3.6711730718612596,3.92163307189941,4.34722198486328,5.0527569580078096,6.20950462341308,8.09303102016449
390.0,3.3844168090820297,3.38447721481323,3.38598594665527,3.39202644348144,3.40892944335937,3.4480261230468696,3.52525184631347,3.66846762657165,3.91946685791015,4.344515991210931,5.05036315917968,6.20684028625488,8.089483981132501
391.0,3.38223175048828,3.3823602676391595,3.38396003723144,3.3895205688476504,3.40683074951171,3.44554107666015,3.5232231903076103,3.6661821174621503,3.91713279724121,4.342229309082031,5.0475891113281195,6.20381660461425,8.08641978859901
392.0,3.38024719238281,3.38015665054321,3.3813768005371,3.3874517822265604,3.4043722534179603,3.44345001220703,3.5206933593750005,3.6639959526062,3.91448867797851,4.33959777832031,5.04464660644531,6.2008528137207,8.08333305954933
393.0,3.37807464599609,3.37819013595581,3.3794303131103502,3.3853897857666,3.40227935791015,3.44097198486328,3.5186749267578104,3.66184651851654,3.9123297119140603,4.33691223144531,5.041886596679681,6.198029861450189,8.08027079463005
394.0,3.37546112060546,3.3755036544799797,3.37693809509277,3.3829091644287104,3.40009735107421,3.4389028930664,3.51665451049804,3.65916661262512,3.9096879577636705,4.33468353271484,5.03969299316406,6.19506889343261,8.07721590876579
395.0,3.37329162597656,3.37344932556152,3.3750994873046802,3.38091964721679,3.3980239868164,3.43670776367187,3.5141281890869096,3.6570231342315602,3.90748886108398,4.33205535888671,5.037120208740229,6.19211242675781,8.074162893295279
396.0,3.3713061523437498,3.37124904632568,3.3725252532958905,3.37869689941406,3.39564666748046,3.43464447021484,3.51213150024414,3.65484369277954,3.90523246765136,4.33,5.03437713623046,6.18931076049804,8.07111176252365
397.0,3.3691403198242096,3.3691494941711397,3.3705902099609304,3.3766593170165997,3.39355682373046,3.43224334716796,3.50963249206542,3.65283688545227,3.90309700012207,4.32739105224609,5.03205261230468,6.18672004699707,8.06806129097938
398.0,3.3669760131835904,3.3671036529541003,3.36869354248046,3.3742552185058496,3.3915609741210897,3.4301763916015604,3.5076399230956996,3.65018285751342,3.9004643249511703,4.324769897460929,5.02930282592773,6.1839797210693295,8.0650181877613
399.0,3.36499694824218,3.36504703521728,3.36619972229003,3.3722197723388603,3.3891207885742096,3.42811553955078,3.5053250885009697,3.64809381484985,3.89833602905273,4.32273010253906,5.02661376953125,6.18104568481445,8.062000156641
400.0,3.36298126220703,3.3630043792724598,3.36437309265136,3.37025657653808,3.3873425292968697,3.42573913574218,3.50339126586914,3.6459322261810296,3.89614433288574,4.320125122070309,5.02443740844726,6.1786896514892495,8.05896019101142
401.0,3.3602755737304597,3.36093114852905,3.3619769287109302,3.3680447387695303,3.38497619628906,3.42396453857421,3.5014061737060502,3.64380648612976,3.89401878356933,4.31814544677734,5.02193038940429,6.17595573425292,8.05639940500259
402.0,3.358876953125,3.35878553390502,3.3600127410888603,3.3660870361328104,3.38298370361328,3.4215911865234303,3.49896850585937,3.6417394781112598,3.89140914916992,4.31553192138671,5.01975845336914,6.173587341308591,8.053390665054321
403.0,3.3568649291992103,3.3568604087829503,3.3581086730956997,3.3641272735595704,3.38121154785156,3.41960388183593,3.4971828460693297,3.63958314895629,3.88965980529785,4.31356781005859,5.0170881652832,6.170660324096669,8.05047535538673
404.0,3.35417175292968,3.3548241996765102,3.3558670043945296,3.3619397735595697,3.3788671875,3.4178347778320304,3.49473007202148,3.6376128482818597,3.8876155090332003,4.31097015380859,5.01440475463867,6.167944564819329,8.04746975421905
405.0,3.3527746582031197,3.35268211364746,3.35391105651855,3.3599851226806603,3.3768804931640597,3.41548706054687,3.4927850341796804,3.6355546998977597,3.8850115203857403,4.30899658203125,5.01225036621093,6.16544250488281,8.04443490266799
406.0,3.3507745361328096,3.35080183029174,3.3521702575683503,3.35804901123046,3.3751287841796795,3.4135055541992103,3.49107261657714,3.6334426689147903,3.88307586669921,4.3064572143554605,5.00994079589843,6.16273155212402,8.04143975973129
