,nm,Ref-0,Ref-5,Ref-10,Ref-15,Ref-20,Ref-45,Ref-50,Ref-55,Ref-60
95,395.0,2.2065434893369598,2.2068783357039,2.2093732278652403,2.21795783698298,2.23784818322546,3.1782311031375,3.9009609229686597,5.10053561061359,7.10745641656797
96,396.0,2.2054558532740898,2.20570616979598,2.20797986274957,2.2165556397691297,2.23650148394815,3.1765389484346795,3.89972997258603,5.10129739521062,7.09911777907796
97,397.0,2.20185342760086,2.20299455332718,2.20653515756167,2.21505723246596,2.23487372192777,3.17607366094561,3.89854104953175,5.10023924535205,7.10116742518004
98,398.0,2.2006617106068798,2.20170264819189,2.20527146000862,2.21364590537212,2.23351254355907,3.1724380224699105,3.8948265911824,5.09159354061335,7.101846251852149
99,399.0,2.1988687041282597,2.19973299607113,2.20324350296519,2.21199846049621,2.2320791049290403,3.1720245709244996,3.894707304167,5.09735765103455,7.09242239361768
100,400.0,2.19778358939141,2.19852137702479,2.20179049135707,2.2105069128841097,2.23055450829193,3.17097783810198,3.88666410298096,5.0885596254967105,7.09139070057477
101,401.0,2.1974058222688697,2.19797770738601,2.2008400615856,2.2092487704269503,2.22907957680858,3.1697147920385,3.89087923581553,5.09613697680402,7.09345666202921
102,402.0,2.19642392274327,2.19698291366063,2.19976285744607,2.20805970301665,2.22779971215315,3.16604483294393,3.8857801705718003,5.09071320852488,7.08463102419562
103,403.0,2.19480767860971,2.19526382506787,2.19807862968444,2.2066670846939003,2.22649104139842,3.16404642528323,3.88504208762822,5.08518187544159,7.084046017627229
104,404.0,2.19369691594839,2.19404736310727,2.19656297360882,2.20522643824107,2.22502525894306,3.1630449277147603,3.88099815120324,5.0797135710556,7.08705336169423
105,405.0,2.19134346306324,2.1922915315479004,2.19530440160855,2.20389277426935,2.22382587298378,3.161960865256,3.8812711262408603,5.08822396545596,7.07807939811414
106,406.0,2.18952584340572,2.19059964792318,2.19413289756327,2.20256317309737,2.2223325812824,3.1598897831255504,3.8784126942528396,5.08171937833838,7.07466497249156
107,407.0,2.1883806076385,2.18941136593073,2.19295608566105,2.20124996789731,2.22086925554126,3.1577331004319698,3.8798060277177,5.0722896337855605,7.072876084312229
108,408.0,2.18663240492343,2.18747129806764,2.19093767028301,2.19971688085272,2.2195783508546603,3.1569755164107303,3.8765100973941298,5.0750471796115795,7.080873046450869
109,409.0,2.1856677521228702,2.18639102399982,2.18959781416654,2.1983434239115502,2.2183418673221,3.1564387614289298,3.8754653055330697,5.07309258344406,7.05713350736349
110,410.0,2.1852201057672502,2.1857910961125,2.18868055327869,2.19715678682178,2.21687004311643,3.1550839609171195,3.87174038550853,5.07009913691272,7.06347039331002
111,411.0,2.1843062298536298,2.18488889490924,2.18768763477541,2.19596463981606,2.2157127262782303,3.1513868741218,3.86775062638912,5.0662295211928905,7.07092086224136
112,412.0,2.18302412736415,2.18356938512846,2.18644451064579,2.1948226342801003,2.21433137655816,3.1503813393315303,3.8650174200966,5.06463940924284,7.05651203508349
113,413.0,2.1820827749967497,2.18239316914826,2.18483947136439,2.19345555759184,2.21324642871171,3.15006743174856,3.86562367442539,5.06389170931102,7.0680076304945105
114,414.0,2.18105771930217,2.1813213377255902,2.1836335582219,2.1921603357326203,2.21204872670695,3.1491642532676405,3.86263314089197,5.06255542207611,7.04750372341182
115,415.0,2.1777549265224403,2.1788823369420998,2.18239911141842,2.1908873353451397,2.210673945757,3.1462518717321504,3.8620653151699296,5.063331807184309,7.05439228225592
116,416.0,2.17654659160934,2.17763985863067,2.1812414682433,2.1896980686333,2.20935618751943,3.14495841309279,3.86238735253457,5.058562746282759,7.0454174415822095
117,417.0,2.17501462347656,2.17601516549289,2.17973052916303,2.18841788225024,2.20801864432916,3.14544874420287,3.86337577546844,5.05289916276745,7.0531483515012
118,418.0,2.17428405499458,2.17504937790706,2.17837357136644,2.18706802093647,2.2069260288979797,3.1414494733834597,3.86123978085052,5.0588383262317596,7.03687273590602
119,419.0,2.17324724208936,2.1739589535031403,2.1771418534442697,2.1857060317344903,2.2055969181559902,3.1405532995559198,3.8576533884922903,5.04975176376141,7.04882582894582
120,420.0,2.17297652003765,2.1735265026792803,2.17635487503185,2.18467184075042,2.2044670318800903,3.1378094187519503,3.85987429428677,5.05192260432243,7.045167939967289
121,421.0,2.17203856363296,2.17260036002993,2.1754062909189598,2.18362627902254,2.2033045651007397,3.13768558902973,3.85288598358174,5.05112540273871,7.037257942603429
122,422.0,2.17077323782444,2.1713333398945602,2.17417395968996,2.18253157904967,2.20211142346486,3.1362692328874,3.8514483711583503,5.0559501943686,7.04635632791919
123,423.0,2.16989660080894,2.17021358988732,2.1726930421859003,2.18126851997338,2.20102075954973,3.1326269834919795,3.8515730133851,5.04997993673049,7.03917905546957
124,424.0,2.16890567536354,2.16918337281942,2.17151562376469,2.18009293139129,2.1998737829532398,3.13283599999016,3.85102357808295,5.04009391908869,7.0424311709539005
125,425.0,2.1657689767237702,2.16692458748519,2.17038851072713,2.17897239555902,2.19860230686552,3.13157470087585,3.8449458520280104,5.04287966594127,7.03719380240859
126,426.0,2.16461286076195,2.16574925774596,2.16940523935556,2.17778474444747,2.19735639138333,3.12890371471112,3.84599931283202,5.04227719878861,7.0320105842142295
