nm, %R
504.000000, 10.764378
503.000000, 10.774753
502.000000, 10.784637
501.000000, 10.786194
500.000000, 10.775876
499.000000, 10.768550
498.000000, 10.795721
497.000000, 10.784283
496.000000, 10.733840
495.000000, 10.742137
494.000000, 10.752545
493.000000, 10.743897
492.000000, 10.724908
491.000000, 10.724011
490.000000, 10.737351
489.000000, 10.723917
488.000000, 10.696468
487.000000, 10.673417
486.000000, 10.702583
485.000000, 10.724035
484.000000, 10.703607
483.000000, 10.684677
482.000000, 10.694296
481.000000, 10.738661
480.000000, 10.757557
479.000000, 10.762387
478.000000, 10.784130
477.000000, 10.819100
476.000000, 10.854859
475.000000, 10.859146
474.000000, 10.866282
473.000000, 10.879398
472.000000, 10.891852
471.000000, 10.925011
470.000000, 10.949946
469.000000, 10.963880
468.000000, 10.987168
467.000000, 11.005656
466.000000, 11.032599
465.000000, 11.052454
464.000000, 11.071030
463.000000, 11.079761
462.000000, 11.083656
461.000000, 11.107483
460.000000, 11.121265
459.000000, 11.131241
458.000000, 11.138692
457.000000, 11.136885
456.000000, 11.144388
455.000000, 11.149927
454.000000, 11.160001
453.000000, 11.160879
452.000000, 11.159042
451.000000, 11.167103
450.000000, 11.151937
449.000000, 11.141989
448.000000, 11.151280
447.000000, 11.155840
446.000000, 11.144089
445.000000, 11.136475
444.000000, 11.133840
443.000000, 11.112236
442.000000, 11.115320
441.000000, 11.141558
440.000000, 11.155064
439.000000, 11.170313
438.000000, 11.183045
437.000000, 11.188483
436.000000, 11.205305
435.000000, 11.191298
434.000000, 11.213586
433.000000, 11.240586
432.000000, 11.237008
431.000000, 11.255788
430.000000, 11.261834
429.000000, 11.270208
428.000000, 11.289520
427.000000, 11.303042
426.000000, 11.327581
425.000000, 11.357091
424.000000, 11.381307
423.000000, 11.395140
422.000000, 11.399345
421.000000, 11.414917
420.000000, 11.451931
419.000000, 11.460859
418.000000, 11.465063
417.000000, 11.486957
416.000000, 11.517317
415.000000, 11.548677
414.000000, 11.562329
413.000000, 11.576500
412.000000, 11.575452
411.000000, 11.592364
410.000000, 11.592482
409.000000, 11.600724
408.000000, 11.623590
407.000000, 11.612952
406.000000, 11.610370
405.000000, 11.628190
404.000000, 11.645371
403.000000, 11.668987
402.000000, 11.677715
401.000000, 11.679859
400.000000, 11.676534
399.000000, 11.680786
398.000000, 11.691902
397.000000, 11.737158
396.000000, 11.758945
395.000000, 11.766678
394.000000, 11.787684
393.000000, 11.803361
392.000000, 11.836638
391.000000, 11.894963
390.000000, 11.885067
389.000000, 11.913241
388.000000, 11.984276
387.000000, 11.995940
386.000000, 12.000322
385.000000, 12.047468
384.000000, 12.053799
383.000000, 12.062612
382.000000, 12.106185
381.000000, 12.129373
380.000000, 12.151980
379.000000, 12.177088
378.000000, 11.901823
377.000000, 10.249615
376.000000, 9.313270
375.000000, 9.480357
374.000000, 10.027896
373.000000, 10.335856
372.000000, 10.742450
371.000000, 11.250195
370.000000, 11.512273
